Date : 2021-04-15 00:36:26
Directory : g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend
Total : 429 files,  91695 codes, 33967 comments, 18207 blanks, all 143869 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Python     |        420 |     91,252 |     33,674 |     18,075 |    143,001 |
| PLSQL      |          1 |        209 |         49 |         69 |        327 |
| PowerShell |          1 |        103 |        239 |         34 |        376 |
| Properties |          2 |         75 |          4 |         10 |         89 |
| Batch      |          3 |         40 |          0 |         17 |         57 |
| XML        |          1 |         14 |          1 |          1 |         16 |
| Markdown   |          1 |          2 |          0 |          1 |          3 |
+------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                           | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                              |        429 |     91,695 |     33,967 |     18,207 |    143,869 |
| generate-utils                                                                                                                                 |          5 |        527 |        101 |        122 |        750 |
| generate-utils\sqls                                                                                                                            |          3 |        435 |         77 |        105 |        617 |
| venv                                                                                                                                           |        415 |     90,386 |     33,715 |     17,928 |    142,029 |
| venv\Lib                                                                                                                                       |        411 |     90,241 |     33,476 |     17,876 |    141,593 |
| venv\Lib\site-packages                                                                                                                         |        411 |     90,241 |     33,476 |     17,876 |    141,593 |
| venv\Lib\site-packages\pip                                                                                                                     |        327 |     70,253 |     23,771 |     12,856 |    106,880 |
| venv\Lib\site-packages\pip\_internal                                                                                                           |         83 |     12,344 |      4,543 |      2,951 |     19,838 |
| venv\Lib\site-packages\pip\_internal\cli                                                                                                       |          7 |      1,245 |        283 |        279 |      1,807 |
| venv\Lib\site-packages\pip\_internal\commands                                                                                                  |         15 |      1,786 |        252 |        385 |      2,423 |
| venv\Lib\site-packages\pip\_internal\distributions                                                                                             |          5 |         90 |         47 |         36 |        173 |
| venv\Lib\site-packages\pip\_internal\models                                                                                                    |          8 |        368 |        152 |        109 |        629 |
| venv\Lib\site-packages\pip\_internal\operations                                                                                                |          4 |        477 |        124 |        102 |        703 |
| venv\Lib\site-packages\pip\_internal\req                                                                                                       |          7 |      1,898 |        565 |        327 |      2,790 |
| venv\Lib\site-packages\pip\_internal\utils                                                                                                     |         19 |      1,959 |      1,061 |        582 |      3,602 |
| venv\Lib\site-packages\pip\_internal\vcs                                                                                                       |          6 |        882 |        395 |        217 |      1,494 |
| venv\Lib\site-packages\pip\_vendor                                                                                                             |        242 |     57,899 |     19,222 |      9,899 |     87,020 |
| venv\Lib\site-packages\pip\_vendor\cachecontrol                                                                                                |         13 |        735 |        261 |        264 |      1,260 |
| venv\Lib\site-packages\pip\_vendor\cachecontrol\caches                                                                                         |          3 |        111 |         33 |         40 |        184 |
| venv\Lib\site-packages\pip\_vendor\certifi                                                                                                     |          3 |          8 |          7 |          8 |         23 |
| venv\Lib\site-packages\pip\_vendor\chardet                                                                                                     |         41 |      4,710 |      1,590 |        462 |      6,762 |
| venv\Lib\site-packages\pip\_vendor\chardet\cli                                                                                                 |          2 |         43 |         32 |         13 |         88 |
| venv\Lib\site-packages\pip\_vendor\colorama                                                                                                    |          6 |        578 |         70 |        124 |        772 |
| venv\Lib\site-packages\pip\_vendor\distlib                                                                                                     |         19 |      9,616 |      3,129 |      1,732 |     14,477 |
| venv\Lib\site-packages\pip\_vendor\distlib\_backport                                                                                           |          6 |      2,695 |      1,032 |        566 |      4,293 |
| venv\Lib\site-packages\pip\_vendor\html5lib                                                                                                    |         34 |     10,408 |      1,446 |      1,376 |     13,230 |
| venv\Lib\site-packages\pip\_vendor\html5lib\_trie                                                                                              |          4 |        114 |          4 |         51 |        169 |
| venv\Lib\site-packages\pip\_vendor\html5lib\filters                                                                                            |          8 |      1,086 |        178 |         92 |      1,356 |
| venv\Lib\site-packages\pip\_vendor\html5lib\treeadapters                                                                                       |          3 |         82 |         32 |         23 |        137 |
| venv\Lib\site-packages\pip\_vendor\html5lib\treebuilders                                                                                       |          5 |        983 |        222 |        250 |      1,455 |
| venv\Lib\site-packages\pip\_vendor\html5lib\treewalkers                                                                                        |          6 |        555 |        165 |        147 |        867 |
| venv\Lib\site-packages\pip\_vendor\idna                                                                                                        |          8 |     10,524 |         38 |        213 |     10,775 |
| venv\Lib\site-packages\pip\_vendor\lockfile                                                                                                    |          6 |        467 |        324 |        135 |        926 |
| venv\Lib\site-packages\pip\_vendor\msgpack                                                                                                     |          4 |        822 |        213 |        110 |      1,145 |
| venv\Lib\site-packages\pip\_vendor\packaging                                                                                                   |          9 |        988 |        435 |        398 |      1,821 |
| venv\Lib\site-packages\pip\_vendor\pep517                                                                                                      |          8 |        608 |        203 |        177 |        988 |
| venv\Lib\site-packages\pip\_vendor\pkg_resources                                                                                               |          2 |      1,839 |        901 |        571 |      3,311 |
| venv\Lib\site-packages\pip\_vendor\progress                                                                                                    |          4 |        214 |         56 |         86 |        356 |
| venv\Lib\site-packages\pip\_vendor\pytoml                                                                                                      |          6 |        385 |        101 |         80 |        566 |
| venv\Lib\site-packages\pip\_vendor\requests                                                                                                    |         18 |      2,561 |      1,617 |        884 |      5,062 |
| venv\Lib\site-packages\pip\_vendor\urllib3                                                                                                     |         49 |      6,763 |      3,733 |      1,868 |     12,364 |
| venv\Lib\site-packages\pip\_vendor\urllib3\contrib                                                                                             |         10 |      1,846 |        633 |        443 |      2,922 |
| venv\Lib\site-packages\pip\_vendor\urllib3\contrib\_securetransport                                                                            |          3 |        650 |        152 |        140 |        942 |
| venv\Lib\site-packages\pip\_vendor\urllib3\packages                                                                                            |         19 |      2,070 |      1,197 |        531 |      3,798 |
| venv\Lib\site-packages\pip\_vendor\urllib3\packages\backports                                                                                  |          2 |         39 |         11 |          5 |         55 |
| venv\Lib\site-packages\pip\_vendor\urllib3\packages\rfc3986                                                                                    |         13 |      1,318 |      1,040 |        333 |      2,691 |
| venv\Lib\site-packages\pip\_vendor\urllib3\packages\ssl_match_hostname                                                                         |          2 |         95 |         58 |         24 |        177 |
| venv\Lib\site-packages\pip\_vendor\urllib3\util                                                                                                |         10 |        932 |        708 |        279 |      1,919 |
| venv\Lib\site-packages\pip\_vendor\webencodings                                                                                                |          5 |        769 |        241 |        105 |      1,115 |
